inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,stock_type,zone,shown_quantity
3420646566,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,401,J,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646568,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,401,K,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646569,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,6,402,A,"11,12,13,14,15,16",-tnow -tmplus -stub,xfer,AWS,118.95,91.5,91.5,91.5,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646571,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,402,B,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646574,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,402,C,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646576,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,402,D,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646578,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,402,E,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646580,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,402,F,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646582,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,402,G,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646584,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,402,H,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656586,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,402,I,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656591,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,2,402,J,"1,2",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656590,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,402,K,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656594,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,403,C,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656596,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,403,D,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656598,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,403,E,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656600,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,403,G,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656602,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,403,H,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
